id;guid;aoGuid;name;parentGuid;level
7121;53d044f8-a882-4632-a031-37d297164454;17dc9108-0ba7-4b7a-80bd-99562cc1ccab;Павлова;e5262ef0-4e70-4122-87b3-2b010d74f6a9;7
6882;73c41d2e-cb92-4f4e-a281-7db59cf664f8;e4584994-5d5d-49fc-916f-928012bf7375;Мельничная;2aab068d-06c9-4120-83f9-24500db3cdc4;7
22;82c7b497-0936-4b45-a370-be6644e59189;b1817101-0d7c-4568-9f57-3200913f4566;Алтышевское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
23;9d6644e7-7b76-4b7c-8b18-798ac2d8ee6f;bdf5487e-de14-49c0-9988-e38188cce65a;Атратское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
24;a0d39762-9d3d-4dfe-9299-5d18f7f17db0;335c4300-088d-4e4b-8e97-8ad2466aa7ea;Ахматовское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
25;2032f32d-8c50-4178-b773-8c0baeedd467;09a5a031-f986-44a7-a3a9-b74396d71fb1;Восходское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
26;344ab4ca-2207-4629-a5b2-0780b2abbebf;2db6a9cf-6519-4d28-9e82-7f1ce33ea1a5;Иваньково-Ленинское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
27;e3289359-4a15-4172-8e3c-dfe76536d3ab;7e7b6888-ea47-4cc3-852d-b5953c2e0610;Кирское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
28;9c1b1d9a-ed22-42dc-8e9d-6e139316537c;4052132c-000d-4f23-842c-28b3745bf55e;Кувакинское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
29;55206cde-f835-4c33-b4ed-3fbfdcd1c7dc;ecd36aed-e408-4c4a-8c29-6fa9243de491;Междуреченское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
30;1792bf67-68a5-44e4-88e0-e4ee3dc4cb15;be508222-4f1a-4a9b-a24d-3490975f9e3a;Миренское;6062cc15-76de-49c0-add2-e84bf1de9b9f;4
