id;resource_id
3;2
3;4
4;5
5;6
11;2
11;4
14;1
14;3
48;1
48;2
48;5
55;1
55;2
55;3
55;4
69;1
82;1
82;2
82;3
82;4
85;2
85;4
86;1
86;3
145;1
145;2
145;3
178;1
183;1
183;2
183;3
183;4
188;1
188;2
188;3
188;4
214;2
214;5
261;1
267;1
267;3
290;1
290;2
290;5
311;1
311;2
311;3
311;4
311;5
322;1
322;3
397;1
535;2
536;1
536;2
536;4
548;2
556;1
556;3
562;1
563;1
563;2
563;3
563;4
564;1
564;3
603;1
603;2
603;3
603;4
680;1
687;2
